method,dataset_size,T,queries_num,conditions,seed,runtime_sec,imp_R,diversity,query_coverage
1,8,2,50,3,722284009,0.48448610305786133,0.27309236947791166,3.8259746626412294e-07,0.72
2,8,2,50,3,722284009,0.965393,0.452037,5e-06,0.7
3,8,2,50,3,722284009,0.7821240425109863,1.203973221675092e-06,4.815889985798627e-06,0.7
1,8,2,200,1,610389495,1.1033008098602295,0.26481257557436516,6.894985634664508e-07,0.615
2,8,2,200,1,610389495,1.529117,0.420018,5e-06,0.645
3,8,2,200,1,610389495,0.49196791648864746,1.203973221675092e-06,4.815889985798627e-06,0.645
1,8,2,200,1,768758880,1.3142459392547607,0.26644736842105265,6.894985634664508e-07,0.68
2,8,2,200,1,768758880,1.472447,0.437177,5e-06,0.67
3,8,2,200,1,768758880,1.0149948596954346,1.203973221675092e-06,4.815889985798627e-06,0.67
1,8,2,200,1,1187906213,1.272505283355713,0.27175080558539205,3.8259746626412294e-07,0.715
2,8,2,200,1,1187906213,1.667971,0.444738,5e-06,0.72
3,8,2,200,1,1187906213,0.9096391201019287,1.203973221675092e-06,4.815889985798627e-06,0.72
1,8,2,200,1,1153140760,1.3176031112670898,0.2710495963091119,3.8259746626412294e-07,0.685
2,8,2,200,1,1153140760,1.264113,0.411149,5e-06,0.665
3,8,2,200,1,1153140760,0.5034570693969727,1.203973221675092e-06,4.815889985798627e-06,0.665
1,8,2,200,1,1995898618,1.2371189594268799,0.27703398558187436,9.553785818017246e-08,0.725
2,8,2,200,1,1995898618,1.880499,0.430338,4e-06,0.7
3,8,2,200,1,1995898618,0.49196600914001465,1.203973221675092e-06,4.815889985798627e-06,0.71
1,8,2,200,3,844438540,1.008971929550171,0.26895119418483904,9.553785818017246e-08,0.715
2,8,2,200,3,844438540,1.611017,0.424856,4e-06,0.7
3,8,2,200,3,844438540,0.49183106422424316,1.203973221675092e-06,4.815889985798627e-06,0.69
1,8,2,200,3,644504904,2.1796419620513916,0.26785714285714285,5.013476145343532e-08,0.63
2,8,2,200,3,644504904,1.845311,0.436875,5e-06,0.655
3,8,2,200,3,644504904,1.0578382015228271,1.203973221675092e-06,4.815889985798627e-06,0.655
1,8,2,200,3,1287811772,1.4625940322875977,0.267515923566879,5.013476145343532e-08,0.59
2,8,2,200,3,1287811772,1.469504,0.432434,5e-06,0.54
3,8,2,200,3,1287811772,0.5337181091308594,1.203973221675092e-06,4.815889985798627e-06,0.54
1,8,2,200,3,1454319909,4.288075923919678,0.2717023675310034,1.15879027262622e-06,0.685
2,8,2,200,3,1454319909,4.487654,0.4418,4e-06,0.63
3,8,2,200,3,1454319909,1.2505519390106201,1.203973221675092e-06,4.815889985798627e-06,0.64
1,8,2,200,3,32304209,1.1604230403900146,0.27204301075268816,6.894985634664508e-07,0.7
2,8,2,200,3,32304209,1.368868,0.446786,5e-06,0.68
3,8,2,200,3,32304209,0.41918277740478516,1.203973221675092e-06,4.815889985798627e-06,0.68
1,12,3,50,1,1086161215,0.37258195877075195,0.27388535031847133,2.1857660004176438e-07,0.64
2,12,3,50,1,1086161215,0.531786,0.41277,4e-06,0.64
3,12,3,50,1,1086161215,3.4135022163391113,1.2965528453830661e-06,3.889655980304774e-06,0.62
1,12,3,50,1,1789429518,0.41727590560913086,0.2887700534759358,6.257555329458597e-08,0.82
2,12,3,50,1,1789429518,0.51131,0.389994,4e-06,0.78
3,12,3,50,1,1789429518,4.354133129119873,1.2965528453830661e-06,3.889655980304774e-06,0.76
1,12,3,50,1,264377655,0.3886759281158447,0.2842465753424658,1.5528940555675774e-06,0.62
2,12,3,50,1,264377655,0.4959,0.390169,4e-06,0.58
3,12,3,50,1,264377655,3.371649742126465,1.2965528454570812e-06,3.889655980304774e-06,0.58
1,12,3,50,1,1654713597,0.38292670249938965,0.2888198757763975,9.456309184585621e-07,0.74
2,12,3,50,1,1654713597,0.509173,0.373093,4e-06,0.64
3,12,3,50,1,1654713597,3.2738537788391113,1.2965528454570812e-06,3.889655980304774e-06,0.62
1,12,3,50,1,2019529919,0.41100478172302246,0.29102167182662536,3.723730680471604e-07,0.68
2,12,3,50,1,2019529919,0.501028,0.363844,0.0,0.58
3,12,3,50,1,2019529919,3.3812568187713623,1.2965528453830661e-06,3.889655980304774e-06,0.56
1,12,3,50,3,1229964327,0.3994028568267822,0.26878612716763006,7.606350304056875e-07,0.72
2,12,3,50,3,1229964327,0.511521,0.405403,4e-06,0.66
3,12,3,50,3,1229964327,3.4499189853668213,1.2965528454570812e-06,3.889655980304774e-06,0.62
1,12,3,50,3,33377209,0.37915539741516113,0.2757660167130919,6.504698440989998e-07,0.72
2,12,3,50,3,33377209,0.528715,0.391444,4e-06,0.68
3,12,3,50,3,33377209,4.0488598346710205,1.2965528454570812e-06,3.889655980304774e-06,0.68
1,12,3,50,3,1083412007,0.38782286643981934,0.27548209366391185,2.0857246774141913e-07,0.78
2,12,3,50,3,1083412007,0.510635,0.380447,4e-06,0.7
3,12,3,50,3,1083412007,3.339002847671509,1.2965528454570812e-06,3.889655980304774e-06,0.66
1,12,3,50,3,1747363904,0.37967801094055176,0.27756653992395436,4.328837679423714e-07,0.54
2,12,3,50,3,1747363904,0.520395,0.391175,4e-06,0.6
3,12,3,50,3,1747363904,4.066284656524658,1.2965528453830661e-06,3.889655980304774e-06,0.52
1,12,3,50,3,947793238,0.38345909118652344,0.2808022922636103,2.600117766649035e-07,0.76
2,12,3,50,3,947793238,0.530151,0.37743,4e-06,0.68
3,12,3,50,3,947793238,4.2194647789001465,1.2965528454570812e-06,3.889655980304774e-06,0.66
1,12,3,200,1,1559818067,0.9532849788665771,0.2713178294573643,6.664693845692682e-07,0.705
2,12,3,200,1,1559818067,1.198583,0.377269,4e-06,0.635
3,12,3,200,1,1559818067,4.745997190475464,1.2965528453830661e-06,3.889655980304774e-06,0.63
1,12,3,200,1,581735298,1.001546859741211,0.2708018154311649,3.723730680471604e-07,0.715
2,12,3,200,1,581735298,1.188431,0.38041,4e-06,0.65
3,12,3,200,1,581735298,4.414901971817017,1.2965528453830661e-06,3.889655980304774e-06,0.615
1,12,3,200,1,1472705881,1.003720998764038,0.27204783258594917,2.0857246774141913e-07,0.69
2,12,3,200,1,1472705881,1.253293,0.374861,4e-06,0.675
3,12,3,200,1,1472705881,4.208168029785156,1.2965528453830661e-06,3.889655980304774e-06,0.65
1,12,3,200,1,28598674,0.9211359024047852,0.2684014869888476,8.777782385394062e-07,0.705
2,12,3,200,1,28598674,1.216278,0.37931,4e-06,0.65
3,12,3,200,1,28598674,3.900588035583496,1.2965528454570812e-06,3.889655980304774e-06,0.65
1,12,3,200,1,1375830025,0.8911030292510986,0.2676733013040494,5.223264883946754e-07,0.765
2,12,3,200,1,1375830025,1.219443,0.391444,4e-06,0.73
3,12,3,200,1,1375830025,3.439145088195801,1.2965528454570812e-06,3.889655980304774e-06,0.7
1,12,3,200,3,1490108858,1.4363667964935303,0.26588235294117646,6.479422314242811e-07,0.63
2,12,3,200,3,1490108858,1.354289,0.391904,4e-06,0.64
3,12,3,200,3,1490108858,3.7956550121307373,1.2965528454570812e-06,3.889655980304774e-06,0.615
1,12,3,200,3,1210952668,1.0636179447174072,0.27326440177252587,2.0857246774141913e-07,0.67
2,12,3,200,3,1210952668,1.448467,0.369614,4e-06,0.69
3,12,3,200,3,1210952668,4.3687310218811035,1.2965528453830661e-06,3.889655980304774e-06,0.675
1,12,3,200,3,1382496100,0.9371790885925293,0.26926070038910505,1.4199933084935168e-07,0.64
2,12,3,200,3,1382496100,1.404777,0.39708,4e-06,0.635
3,12,3,200,3,1382496100,4.183218955993652,1.2965528454570812e-06,3.889655980304774e-06,0.62
1,12,3,200,3,1063511414,1.007652997970581,0.2788688138256088,2.0857246774141913e-07,0.665
2,12,3,200,3,1063511414,1.34311,0.358604,4e-06,0.58
3,12,3,200,3,1063511414,3.282242774963379,1.2965528454570812e-06,3.889655980304774e-06,0.555
1,12,3,200,3,263846416,0.9491887092590332,0.27217125382262997,3.909684483938136e-07,0.675
2,12,3,200,3,263846416,1.351277,0.384952,4e-06,0.645
3,12,3,200,3,263846416,3.9906117916107178,1.2965528454570812e-06,3.889655980304774e-06,0.62
